rate,max_bit_rate,vmaf_score,output_file_size
20,2000k,66.17,6.789881706237793
20,4000k,78.64,13.614941596984863
20,8000k,88.17,27.29756450653076
20,12000k,92.06,40.906188011169434
20,18000k,95.01,60.83698272705078
20,24000k,96.6,80.61413288116455
25,2000k,66.13,6.789881706237793
25,4000k,78.39,13.471358299255371
25,8000k,87.84,26.763954162597656
25,12000k,91.76,39.991305351257324
25,18000k,94.92,60.2170352935791
25,24000k,96.5,75.92238330841064
30,2000k,66.12,6.789881706237793
30,4000k,78.41,13.461512565612793
30,8000k,87.81,26.771446228027344
30,12000k,91.78,39.122389793395996
30,18000k,94.68,50.84502983093262
30,24000k,95.38,53.81080341339111
35,2000k,66.12,6.789881706237793
35,4000k,78.47,13.474592208862305
35,8000k,87.6,25.167030334472656
35,12000k,91.0,30.04883575439453
35,18000k,91.78,31.73526668548584
35,24000k,91.78,31.672219276428223
