rate,max_bit_rate,vmaf_score,output_file_size
20,2000k,81.08,1.9998369216918945
20,4000k,93.01,4.056441307067871
20,8000k,98.12,8.1905517578125
20,12000k,99.1,12.291604995727539
20,18000k,99.53,17.89291286468506
20,24000k,99.68,23.399982452392578
25,2000k,81.01,1.9998369216918945
25,4000k,92.75,3.9166946411132812
25,8000k,97.99,7.660849571228027
25,12000k,99.05,11.38863468170166
25,18000k,99.52,17.243993759155273
25,24000k,99.55,17.46713161468506
30,2000k,81.04,1.9998369216918945
30,4000k,92.76,3.919994354248047
30,8000k,97.96,7.66813850402832
30,12000k,98.91,10.001055717468262
30,18000k,"(None,)",9.99071979522705
30,24000k,98.91,10.010564804077148
35,2000k,80.99,1.9993114471435547
35,4000k,92.79,3.913778305053711
35,8000k,96.94,5.960787773132324
35,12000k,96.98,5.957258224487305
35,18000k,96.98,5.954802513122559
35,24000k,96.96,5.960888862609863
