Input File,Codec,Target Bitrate (kbps),Input File Size (MB),Output File Size (MB),Compression Rate,VMAF,Encoding Time,Encoding Time Calculated,Decoding Time,Frame,FPS,Bitrate,Speed
input_1.y4m,AV1_Optimized,2000,1483.16,2.23,0.15,32.91,frame=    1 fps=0.0 q=53.0 size=       0KiB time=00:00:00.00 bitrate=N/A speed=   0x    ,5.49,0.62,1,0.0,,0x
input_1.y4m,AV1_NVENC,2000,1483.16,2.49,0.17,31.42,frame=  128 fps=0.0 q=253.0 size=     512KiB time=00:00:02.56 bitrate=1638.5kbits/s speed=4.96x    ,1.27,0.7,128,0.0,1638.5kbits/s,4.96x
input_1.y4m,H264,2000,1483.16,2.48,0.17,18.69,frame=    7 fps=0.0 q=46.0 size=       0KiB time=00:00:00.10 bitrate=   3.8kbits/s speed=0.196x    ,5.76,0.33,7,0.0,3.8kbits/s,0.196x
input_1.y4m,H264_NVENC,2000,1483.16,2.49,0.17,31.36,frame=  146 fps=0.0 q=253.0 size=     768KiB time=00:00:02.92 bitrate=2154.7kbits/s speed=5.57x    ,1.24,0.71,146,0.0,2154.7kbits/s,5.57x
input_1.y4m,HEVC,2000,1483.16,2.47,0.17,31.11,frame=    4 fps=0.0 q=46.0 size=       0KiB time=00:00:00.04 bitrate=   8.8kbits/s speed=0.0761x    ,12.01,0.63,4,0.0,8.8kbits/s,0.0761x
input_1.y4m,HEVC_NVENC,2000,1483.16,2.5,0.17,26.7,frame=  147 fps=0.0 q=50.0 size=     768KiB time=00:00:02.86 bitrate=2199.9kbits/s speed=5.51x    ,1.29,0.46,147,0.0,2199.9kbits/s,5.51x
input_1.y4m,AV1_Optimized,4000,1483.16,3.74,0.25,43.65,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,5.55,0.84,0,0.0,,
input_1.y4m,AV1_NVENC,4000,1483.16,5.06,0.34,"(None,)",frame=  133 fps=0.0 q=221.0 size=    1536KiB time=00:00:02.66 bitrate=4730.6kbits/s speed= 5.1x    ,1.27,0.98,133,0.0,4730.6kbits/s,5.1x
input_1.y4m,H264,4000,1483.16,4.91,0.33,33.52,frame=    5 fps=0.0 q=46.0 size=       0KiB time=00:00:00.06 bitrate=   6.4kbits/s speed=0.114x    ,6.52,0.45,5,0.0,6.4kbits/s,0.114x
input_1.y4m,H264_NVENC,4000,1483.16,5.06,0.34,46.42,frame=  134 fps=0.0 q=231.0 size=    1536KiB time=00:00:02.68 bitrate=4695.3kbits/s speed=5.23x    ,1.26,1.01,134,0.0,4695.3kbits/s,5.23x
input_1.y4m,HEVC,4000,1483.16,4.98,0.34,45.11,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,16.64,0.79,0,0.0,,
input_1.y4m,HEVC_NVENC,4000,1483.16,5.07,0.34,39.45,frame=  145 fps=0.0 q=48.0 size=    1536KiB time=00:00:02.84 bitrate=4430.7kbits/s speed=5.56x    ,1.28,0.59,145,0.0,4430.7kbits/s,5.56x
input_1.y4m,AV1_Optimized,10000,1483.16,11.69,0.79,67.06,frame=    1 fps=0.0 q=30.0 size=       0KiB time=00:00:00.00 bitrate=N/A speed=   0x    ,7.02,1.6,1,0.0,,0x
input_1.y4m,AV1_NVENC,10000,1483.16,12.48,0.84,65.28,frame=  134 fps=0.0 q=199.0 size=    4096KiB time=00:00:02.68 bitrate=12520.5kbits/s speed=5.21x    ,1.26,1.57,134,0.0,12520.5kbits/s,5.21x
input_1.y4m,H264,10000,1483.16,12.15,0.82,55.4,frame=    1 fps=0.0 q=30.0 size=       0KiB time=-00:00:00.02 bitrate=N/A speed=N/A    ,8.18,0.57,1,0.0,,
