Input File,Codec,Target Bitrate (kbps),Input File Size (MB),Output File Size (MB),Compression Rate,VMAF,Encoding Time,Encoding Time Calculated,Decoding Time,Frame,FPS,Bitrate,Speed
input_1.y4m,AV1_Optimized,1000,1483.16,1.28,0.09,21.44,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,4.79,0.5,0,0.0,,
input_1.y4m,AV1_NVENC,1000,1483.16,1.34,0.09,19.74,frame=  134 fps=0.0 q=254.0 size=     256KiB time=00:00:02.68 bitrate= 782.7kbits/s speed=5.31x    ,1.24,0.56,134,0.0,782.7kbits/s,5.31x
input_1.y4m,H264,1000,1483.16,1.24,0.08,8.44,frame=   16 fps=0.0 q=59.0 size=       0KiB time=00:00:00.28 bitrate=   1.4kbits/s speed=0.536x    ,5.28,0.3,16,0.0,1.4kbits/s,0.536x
input_1.y4m,H264_NVENC,1000,1483.16,1.34,0.09,19.74,frame=  158 fps=0.0 q=253.0 size=     256KiB time=00:00:03.16 bitrate= 663.8kbits/s speed=6.03x    ,1.22,0.6,158,0.0,663.8kbits/s,6.03x
input_1.y4m,HEVC,1000,1483.16,1.21,0.08,18.6,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,10.54,0.58,0,0.0,,
input_1.y4m,HEVC_NVENC,1000,1483.16,1.44,0.1,18.05,frame=  145 fps=0.0 q=50.0 size=     256KiB time=00:00:02.84 bitrate= 738.6kbits/s speed=5.48x    ,1.28,0.41,145,0.0,738.6kbits/s,5.48x
input_1.y4m,AV1_Optimized,2000,1483.16,2.21,0.15,32.76,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,5.63,0.63,0,0.0,,
input_1.y4m,AV1_NVENC,2000,1483.16,2.49,0.17,31.42,frame=  147 fps=0.0 q=242.0 size=     768KiB time=00:00:02.92 bitrate=2154.7kbits/s speed=5.69x    ,1.24,0.72,147,0.0,2154.7kbits/s,5.69x
input_1.y4m,H264,2000,1483.16,2.48,0.17,18.67,frame=    9 fps=0.0 q=55.0 size=       0KiB time=00:00:00.14 bitrate=   2.7kbits/s speed=0.275x    ,5.67,0.34,9,0.0,2.7kbits/s,0.275x
input_1.y4m,H264_NVENC,2000,1483.16,2.49,0.17,31.34,frame=  140 fps=0.0 q=242.0 size=     768KiB time=00:00:02.80 bitrate=2247.1kbits/s speed=5.52x    ,1.24,0.71,140,0.0,2247.1kbits/s,5.52x
input_1.y4m,HEVC,2000,1483.16,2.47,0.17,31.1,frame=    3 fps=0.0 q=44.4 size=       0KiB time=00:00:00.02 bitrate=  17.6kbits/s speed=0.0384x    ,12.92,0.65,3,0.0,17.6kbits/s,0.0384x
input_1.y4m,HEVC_NVENC,2000,1483.16,2.5,0.17,26.73,frame=  159 fps=0.0 q=50.0 size=     768KiB time=00:00:03.12 bitrate=2016.6kbits/s speed=6.07x    ,1.24,0.47,159,0.0,2016.6kbits/s,6.07x
input_1.y4m,AV1_Optimized,4000,1483.16,3.78,0.25,43.88,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,5.86,0.88,0,0.0,,
input_1.y4m,AV1_NVENC,4000,1483.16,5.06,0.34,46.44,frame=  146 fps=0.0 q=234.0 size=    1536KiB time=00:00:02.92 bitrate=4309.3kbits/s speed=5.64x    ,1.23,1.06,146,0.0,4309.3kbits/s,5.64x
input_1.y4m,H264,4000,1483.16,4.91,0.33,33.47,frame=    5 fps=0.0 q=46.0 size=       0KiB time=00:00:00.06 bitrate=   6.4kbits/s speed=0.115x    ,6.96,0.42,5,0.0,6.4kbits/s,0.115x
input_1.y4m,H264_NVENC,4000,1483.16,5.06,0.34,46.49,frame=  144 fps=0.0 q=234.0 size=    1536KiB time=00:00:02.88 bitrate=4369.2kbits/s speed=5.56x    ,1.24,1.02,144,0.0,4369.2kbits/s,5.56x
input_1.y4m,HEVC,4000,1483.16,4.98,0.34,45.09,frame=    3 fps=0.0 q=44.4 size=       0KiB time=00:00:00.02 bitrate=  17.6kbits/s speed=0.0388x    ,16.79,0.88,3,0.0,17.6kbits/s,0.0388x
input_1.y4m,HEVC_NVENC,4000,1483.16,5.07,0.34,39.44,frame=  135 fps=0.0 q=46.0 size=    1536KiB time=00:00:02.64 bitrate=4766.4kbits/s speed=5.17x    ,1.3,0.64,135,0.0,4766.4kbits/s,5.17x
input_1.y4m,AV1_Optimized,8000,1483.16,9.28,0.63,62.3,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,7.31,1.44,0,0.0,,
input_1.y4m,AV1_NVENC,8000,1483.16,10.02,0.68,60.89,frame=  152 fps=0.0 q=211.0 size=    3584KiB time=00:00:03.04 bitrate=9658.1kbits/s speed=6.05x    ,1.21,1.62,152,0.0,9658.1kbits/s,6.05x
input_1.y4m,H264,8000,1483.16,9.75,0.66,50.52,frame=    1 fps=0.0 q=32.0 size=       0KiB time=-00:00:00.02 bitrate=N/A speed=N/A    ,8.23,0.54,1,0.0,,
input_1.y4m,H264_NVENC,8000,1483.16,10.02,0.68,60.91,frame=  146 fps=0.0 q=210.0 size=    3328KiB time=00:00:02.92 bitrate=9336.8kbits/s speed=5.63x    ,1.23,1.43,146,0.0,9336.8kbits/s,5.63x
input_1.y4m,HEVC,8000,1483.16,10.11,0.68,59.53,frame=    2 fps=0.0 q=39.6 size=       0KiB time=00:00:00.00 bitrate=N/A speed=   0x    ,21.2,1.06,2,0.0,,0x
input_1.y4m,HEVC_NVENC,8000,1483.16,10.06,0.68,53.42,frame=  149 fps=0.0 q=44.0 size=    3584KiB time=00:00:02.92 bitrate=10055.0kbits/s speed= 5.8x    ,1.26,0.81,149,0.0,10055.0kbits/s,5.8x
input_1.y4m,AV1_Optimized,16000,1483.16,19.05,1.28,76.27,frame=    1 fps=0.0 q=25.0 size=       0KiB time=00:00:00.00 bitrate=N/A speed=   0x    ,8.48,2.21,1,0.0,,0x
input_1.y4m,AV1_NVENC,16000,1483.16,19.84,1.34,74.02,frame=  142 fps=0.0 q=182.0 size=    6912KiB time=00:00:02.84 bitrate=19937.8kbits/s speed=5.58x    ,1.24,2.09,142,0.0,19937.8kbits/s,5.58x
input_1.y4m,H264,16000,1483.16,19.46,1.31,64.04,frame=    1 fps=0.0 q=26.0 size=       0KiB time=-00:00:00.02 bitrate=N/A speed=N/A    ,9.15,0.9,1,0.0,,
input_1.y4m,H264_NVENC,16000,1483.16,19.84,1.34,74.02,frame=  140 fps=0.0 q=182.0 size=    6912KiB time=00:00:02.80 bitrate=20222.7kbits/s speed=5.54x    ,1.24,2.11,140,0.0,20222.7kbits/s,5.54x
input_1.y4m,HEVC,16000,1483.16,20.4,1.38,73.15,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,30.39,1.47,0,0.0,,
input_1.y4m,HEVC_NVENC,16000,1483.16,20.99,1.42,68.44,frame=  173 fps=0.0 q=37.0 size=    8960KiB time=00:00:03.40 bitrate=21588.4kbits/s speed=6.62x    ,1.22,1.11,173,0.0,21588.4kbits/s,6.62x
input_1.y4m,AV1_Optimized,32000,1483.16,38.77,2.61,86.17,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,10.97,3.49,0,0.0,,
input_1.y4m,AV1_NVENC,32000,1483.16,39.02,2.63,85.01,frame=  146 fps=0.0 q=155.0 size=   14080KiB time=00:00:02.92 bitrate=39501.3kbits/s speed=5.74x    ,1.23,3.29,146,0.0,39501.3kbits/s,5.74x
input_1.y4m,H264,32000,1483.16,39.48,2.66,76.29,frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A    ,11.47,0.96,0,0.0,,
input_1.y4m,H264_NVENC,32000,1483.16,39.02,2.63,85.01,frame=  152 fps=0.0 q=156.0 size=   14592KiB time=00:00:03.04 bitrate=39321.7kbits/s speed=5.87x    ,1.23,3.25,152,0.0,39321.7kbits/s,5.87x
