cq,vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,metrics_frame_rate,metrics_resolution
10,99.5,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
15,99.18,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
20,98.77,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
25,98.3,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
30,97.84,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
35,97.03,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
40,95.34,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
10,99.99,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
15,99.99,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
20,99.98,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
25,99.95,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
30,99.81,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
35,99.24,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
40,97.68,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
10,99.93,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
15,99.91,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
20,99.89,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
25,98.54,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
30,98.37,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
35,92.86,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
40,85.72,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
10,98.5,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
15,97.58,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
20,97.04,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
25,94.7,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
