video_name,cq,vmaf,output_size,bitrate,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,metrics_frame_rate,metrics_resolution
720p50_mobcal_ter_segment_000.mp4,10,99.5,37.98,139.81,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,15,99.18,21.13,41.94,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,20,98.77,12.74,22.94,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,25,98.3,7.23,13.8,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,30,97.84,4.42,6.77,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,35,97.03,2.56,2.83,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_000.mp4,40,95.34,1.51,0,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,10,99.99,35.47,79.89,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,15,99.99,19.83,41.19,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,20,99.98,11.42,20.46,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,25,99.95,6.46,11.65,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,30,99.81,3.7,5.38,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,35,99.24,2.17,2.69,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_mobcal_ter_segment_001.mp4,40,97.68,1.3,0,1.16,0.12,6.99,16.98,100.89,6.94,0,0.8,9.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,10,99.93,50.55,98.09,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,15,99.91,29.64,74.9,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,20,99.89,18.21,37.45,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,25,98.54,7.45,17.48,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,30,98.37,7.08,13.68,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,35,92.86,4.51,9.53,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_000.mp4,40,85.72,2.9,3.62,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
720p50_parkrun_ter_segment_001.mp4,10,98.5,45.59,114.39,0.5,0.25,7.47,12.64,130.57,7.52,1,0.13,18.31,50,"(1280, 720)"
