vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_avg_motion_variance,metrics_avg_grain_noise,resolution_ordinal,cq_ordinal,metrics_frame_rate_ordinal
0.995,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0,0.8
0.9918,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.166666666666667,0.8
0.9877,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.333333333333333,0.8
0.983,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.5,0.8
0.9784,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.666666666666667,0.8
0.9703,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.833333333333333,0.8
0.9534,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,1,0.8
0.9999,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0,0.8
0.9999,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.166666666666667,0.8
0.9998,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.333333333333333,0.8
0.9995,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.5,0.8
0.9981,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.666666666666667,0.8
0.9924,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,0.833333333333333,0.8
0.9768,1.16,0.12,0.462,1.471,0.648,0.468,-0.178,0.624,0.625,1,0.8
0.9993,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0,0.8
0.9991,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.166666666666667,0.8
0.9989,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.333333333333333,0.8
0.9854,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.5,0.8
0.9837,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.666666666666667,0.8
0.9286,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.833333333333333,0.8
0.8572,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,1,0.8
0.985,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0,0.8
0.9758,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.166666666666667,0.8
0.9704,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.333333333333333,0.8
0.947,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.5,0.8
0.9409,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.666666666666667,0.8
0.9013,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,0.833333333333333,0.8
0.8442,0.5,0.25,0.687,0.81,1.628,0.742,-0.531,2.974,0.625,1,0.8
0.9993,0.79,0.15,0.49,0.784,0.776,0.449,-0.346,1.065,0.625,0,0.8
0.9992,0.79,0.15,0.49,0.784,0.776,0.449,-0.346,1.065,0.625,0.166666666666667,0.8
0.9989,0.79,0.15,0.49,0.784,0.776,0.449,-0.346,1.065,0.625,0.333333333333333,0.8
0.9985,0.79,0.15,0.49,0.784,0.776,0.449,-0.346,1.065,0.625,0.5,0.8
