vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,resolution_ordinal,cq_ordinal,metrics_frame_rate_ordinal
99.5,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,1,5
99.18,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,2,5
98.77,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,3,5
98.3,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,4,5
97.84,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,5,5
97.03,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,6,5
95.34,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,7,5
99.99,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,1,5
99.99,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,2,5
99.98,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,3,5
99.95,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,4,5
99.81,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,5,5
99.24,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,6,5
97.68,0.128,0.688,0.462,1.471,0.648,0.468,0,-0.178,0.624,6,7,5
99.93,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,1,5
99.91,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,2,5
99.89,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,3,5
98.54,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,4,5
98.37,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,5,5
92.86,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,6,5
85.72,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,7,5
98.5,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,1,5
97.58,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,2,5
97.04,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,3,5
94.7,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,4,5
94.09,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,5,5
90.13,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,6,5
84.42,-0.337,2.75,0.687,0.81,1.628,0.742,1,-0.531,2.974,6,7,5
99.93,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,1,5
99.92,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,2,5
99.89,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,3,5
99.85,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,4,5
99.79,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,5,5
99.75,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,6,5
99.6,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,7,5
99.55,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,1,5
99.17,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,2,5
98.68,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,3,5
98.34,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,4,5
97.64,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,5,5
96.58,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,6,5
94.0,-0.133,1.164,0.49,0.784,0.776,0.449,0,-0.346,1.065,6,7,5
99.95,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,1,6
99.93,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,2,6
99.76,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,3,6
99.19,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,4,6
98.78,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,5,6
97.83,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,6,6
95.94,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,7,6
99.59,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,1,6
99.25,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,2,6
98.38,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,3,6
97.38,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,4,6
96.81,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,5,6
95.69,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,6,6
93.75,-0.274,1.005,0.715,0.833,0.438,0.728,0,-0.431,0.736,6,7,6
97.57,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,1,4
97.32,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,2,4
97.01,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,3,4
96.46,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,4,4
95.57,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,5,4
94.09,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,6,4
91.89,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,7,4
97.59,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,1,4
97.34,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,2,4
97.03,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,3,4
96.48,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,4,4
95.52,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,5,4
94.11,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,6,4
91.75,-0.655,-0.105,0.607,-0.773,0.141,0.567,0,-0.558,-0.081,3,7,4
99.97,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,1,3
99.97,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,2,3
99.97,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,3,3
99.96,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,4,3
99.96,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,5,3
99.94,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,6,3
99.71,1.065,0.212,0.509,3.594,1.174,0.435,0,0.551,-0.108,7,7,3
98.89,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,1,4
98.65,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,2,4
98.42,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,3,4
98.04,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,4,4
97.4,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,5,4
96.15,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,6,4
93.97,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,7,4
98.24,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,1,4
97.88,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,2,4
97.7,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,3,4
97.28,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,4,4
96.54,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,5,4
95.17,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,6,4
92.69,-0.359,0.529,0.401,-0.342,0.136,0.454,0,-0.236,0.101,3,7,4
97.47,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,1,4
96.6,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,2,4
95.8,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,3,4
94.8,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,4,4
93.36,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,5,4
91.59,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,6,4
88.97,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,7,4
97.48,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,1,4
96.65,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,2,4
95.81,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,3,4
94.85,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,4,4
93.56,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,5,4
91.82,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,6,4
89.26,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,7,4
97.45,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,1,4
96.53,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,2,4
95.68,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,3,4
94.66,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,4,4
93.25,-0.655,0.371,0.284,-0.768,0.132,0.284,0,-0.568,0.538,3,5,4
