video_name,cq,vmaf,output_size,bitrate
720p50_mobcal_ter_segment_000.mp4,10,99.5,37.98,139.81
720p50_mobcal_ter_segment_000.mp4,15,99.18,21.13,41.94
720p50_mobcal_ter_segment_000.mp4,20,98.77,12.74,22.94
720p50_mobcal_ter_segment_000.mp4,25,98.3,7.23,13.80
720p50_mobcal_ter_segment_000.mp4,30,97.84,4.42,6.77
720p50_mobcal_ter_segment_000.mp4,35,97.03,2.56,2.83
720p50_mobcal_ter_segment_000.mp4,40,95.34,1.51,0.00
720p50_mobcal_ter_segment_001.mp4,10,99.99,35.47,79.89
720p50_mobcal_ter_segment_001.mp4,15,99.99,19.83,41.19
720p50_mobcal_ter_segment_001.mp4,20,99.98,11.42,20.46
720p50_mobcal_ter_segment_001.mp4,25,99.95,6.46,11.65
720p50_mobcal_ter_segment_001.mp4,30,99.81,3.70,5.38
720p50_mobcal_ter_segment_001.mp4,35,99.24,2.17,2.69
720p50_mobcal_ter_segment_001.mp4,40,97.68,1.30,0.00
720p50_parkrun_ter_segment_000.mp4,10,99.93,50.55,98.09
720p50_parkrun_ter_segment_000.mp4,15,99.91,29.64,74.90
720p50_parkrun_ter_segment_000.mp4,20,99.89,18.21,37.45
720p50_parkrun_ter_segment_000.mp4,25,98.54,7.45,17.48
720p50_parkrun_ter_segment_000.mp4,30,98.37,7.08,13.68
720p50_parkrun_ter_segment_000.mp4,35,92.86,4.51,9.53
720p50_parkrun_ter_segment_000.mp4,40,85.72,2.90,3.62
720p50_parkrun_ter_segment_001.mp4,10,98.5,45.59,114.39
720p50_parkrun_ter_segment_001.mp4,15,97.58,26.01,69.91
720p50_parkrun_ter_segment_001.mp4,20,97.04,16.01,41.94
720p50_parkrun_ter_segment_001.mp4,25,94.7,7.21,16.56
720p50_parkrun_ter_segment_001.mp4,30,94.09,6.17,13.11
720p50_parkrun_ter_segment_001.mp4,35,90.13,3.92,8.74
720p50_parkrun_ter_segment_001.mp4,40,84.42,2.49,6.99
720p50_shields_ter_segment_000.mp4,10,99.93,40.07,85.02
720p50_shields_ter_segment_000.mp4,15,99.92,21.83,44.49
720p50_shields_ter_segment_000.mp4,20,99.89,12.98,24.67
720p50_shields_ter_segment_000.mp4,25,99.85,7.44,11.65
720p50_shields_ter_segment_000.mp4,30,99.79,4.37,7.67
720p50_shields_ter_segment_000.mp4,35,99.75,2.59,2.83
720p50_shields_ter_segment_000.mp4,40,99.6,1.61,0.00
720p50_shields_ter_segment_001.mp4,10,99.55,39.46,77.80
720p50_shields_ter_segment_001.mp4,15,99.17,21.50,44.94
720p50_shields_ter_segment_001.mp4,20,98.68,12.92,21.59
720p50_shields_ter_segment_001.mp4,25,98.34,7.34,10.49
720p50_shields_ter_segment_001.mp4,30,97.64,4.34,3.88
720p50_shields_ter_segment_001.mp4,35,96.58,2.53,3.28
720p50_shields_ter_segment_001.mp4,40,94,1.49,0.00
720p5994_stockholm_ter_segment_000.mp4,10,99.95,51.05,97.77
720p5994_stockholm_ter_segment_000.mp4,15,99.93,27.42,65.18
720p5994_stockholm_ter_segment_000.mp4,20,99.76,15.84,29.01
720p5994_stockholm_ter_segment_000.mp4,25,99.19,7.44,14.37
720p5994_stockholm_ter_segment_000.mp4,30,98.78,5.36,7.62
720p5994_stockholm_ter_segment_000.mp4,35,97.83,2.98,3.93
720p5994_stockholm_ter_segment_000.mp4,40,95.94,1.62,0.00
720p5994_stockholm_ter_segment_001.mp4,10,99.59,49.95,99.92
720p5994_stockholm_ter_segment_001.mp4,15,99.25,26.86,60.52
720p5994_stockholm_ter_segment_001.mp4,20,98.38,15.65,27.93
720p5994_stockholm_ter_segment_001.mp4,25,97.38,7.49,15.71
720p5994_stockholm_ter_segment_001.mp4,30,96.81,5.16,6.80
720p5994_stockholm_ter_segment_001.mp4,35,95.69,2.86,4.49
720p5994_stockholm_ter_segment_001.mp4,40,93.75,1.60,0.00
akiyo_cif_segment_000.mp4,10,97.57,1.23,2.06
akiyo_cif_segment_000.mp4,15,97.32,0.72,1.20
akiyo_cif_segment_000.mp4,20,97.01,0.46,0.76
akiyo_cif_segment_000.mp4,25,96.46,0.28,0.46
akiyo_cif_segment_000.mp4,30,95.57,0.16,0.27
akiyo_cif_segment_000.mp4,35,94.09,0.10,0.17
akiyo_cif_segment_000.mp4,40,91.89,0.07,0.11
akiyo_cif_segment_001.mp4,10,97.59,1.23,2.05
akiyo_cif_segment_001.mp4,15,97.34,0.72,1.20
akiyo_cif_segment_001.mp4,20,97.03,0.45,0.76
akiyo_cif_segment_001.mp4,25,96.48,0.27,0.45
akiyo_cif_segment_001.mp4,30,95.52,0.16,0.26
akiyo_cif_segment_001.mp4,35,94.11,0.10,0.16
akiyo_cif_segment_001.mp4,40,91.75,0.06,0.10
blue_sky_1080p25_segment_000.mp4,10,99.97,29.61,0.00
blue_sky_1080p25_segment_000.mp4,15,99.97,17.08,30.58
blue_sky_1080p25_segment_000.mp4,20,99.97,10.29,16.13
blue_sky_1080p25_segment_000.mp4,25,99.96,6.19,10.49
blue_sky_1080p25_segment_000.mp4,30,99.96,3.70,0.00
blue_sky_1080p25_segment_000.mp4,35,99.94,2.26,0.00
blue_sky_1080p25_segment_000.mp4,40,99.71,1.45,0.00
bowing_cif_segment_000.mp4,10,98.89,1.61,2.70
bowing_cif_segment_000.mp4,15,98.65,0.87,1.46
bowing_cif_segment_000.mp4,20,98.42,0.51,0.85
bowing_cif_segment_000.mp4,25,98.04,0.28,0.47
bowing_cif_segment_000.mp4,30,97.4,0.16,0.27
bowing_cif_segment_000.mp4,35,96.15,0.10,0.18
bowing_cif_segment_000.mp4,40,93.97,0.07,0.12
bowing_cif_segment_001.mp4,10,98.24,1.49,2.49
bowing_cif_segment_001.mp4,15,97.88,0.82,1.37
bowing_cif_segment_001.mp4,20,97.7,0.47,0.80
bowing_cif_segment_001.mp4,25,97.28,0.23,0.39
bowing_cif_segment_001.mp4,30,96.54,0.13,0.21
bowing_cif_segment_001.mp4,35,95.17,0.08,0.13
bowing_cif_segment_001.mp4,40,92.69,0.05,0.09
bridge_close_cif_segment_000.mp4,10,97.47,3.01,5.05
bridge_close_cif_segment_000.mp4,15,96.6,1.71,2.87
bridge_close_cif_segment_000.mp4,20,95.8,1.00,1.68
bridge_close_cif_segment_000.mp4,25,94.8,0.60,1.00
bridge_close_cif_segment_000.mp4,30,93.36,0.35,0.58
