avg_motion,avg_edge_density,avg_texture,avg_temporal_information,avg_spatial_information,avg_color_complexity,scene_change_count,avg_motion_variance,avg_grain_noise,frame_rate,resolution,video_name
0.73,0.2,7.31,12.0,110.5,7.32,1.0,0.43,12.22,50,"(1280, 720)",720p50_mobcal_ter_segment_000.mp4
1.16,0.12,6.99,16.98,100.89,6.94,0.0,0.8,9.31,50,"(1280, 720)",720p50_mobcal_ter_segment_001.mp4
1.39,0.24,7.57,28.73,132.01,7.6,1.0,0.26,16.68,50,"(1280, 720)",720p50_parkrun_ter_segment_000.mp4
0.5,0.25,7.47,12.64,130.57,7.52,1.0,0.13,18.31,50,"(1280, 720)",720p50_parkrun_ter_segment_001.mp4
1.76,0.17,7.24,21.94,104.12,7.1,1.0,0.45,9.3,50,"(1280, 720)",720p50_shields_ter_segment_000.mp4
0.79,0.15,7.05,12.47,104.77,6.9,0.0,0.48,11.0,50,"(1280, 720)",720p50_shields_ter_segment_001.mp4
1.08,0.13,7.45,16.54,91.29,7.43,1.0,0.52,8.48,60,"(1280, 720)",720p5994_stockholm_ter_segment_000.mp4
0.59,0.14,7.53,12.79,94.53,7.49,0.0,0.32,9.74,60,"(1280, 720)",720p5994_stockholm_ter_segment_001.mp4
0.05,0.07,7.3,2.24,85.43,7.15,0.0,0.09,6.59,30,"(352, 288)",akiyo_cif_segment_000.mp4
0.05,0.07,7.3,2.24,85.53,7.15,0.0,0.08,6.61,30,"(352, 288)",akiyo_cif_segment_001.mp4
1.33,0.04,6.61,9.09,48.96,6.6,1.0,1.57,2.83,30,"(1920, 1080)",aspen_1080p_segment_000.mp4
1.67,0.12,7.22,15.2,94.48,7.21,5.0,1.48,6.91,30,"(1920, 1080)",aspen_1080p_segment_001.mp4
0.33,0.2,7.36,8.02,123.95,7.33,2.0,0.35,11.12,30,"(1920, 1080)",aspen_1080p_segment_002.mp4
2.49,0.09,7.09,30.93,116.83,6.87,0.0,2.18,6.51,25,"(1920, 1080)",blue_sky_1080p25_segment_000.mp4
0.65,0.12,6.96,8.0,85.5,7.0,0.0,0.9,7.31,30,"(352, 288)",bowing_cif_segment_000.mp4
0.47,0.11,6.86,5.07,85.38,6.91,0.0,0.69,7.31,30,"(352, 288)",bowing_cif_segment_001.mp4
0.05,0.1,6.6,2.39,87.92,6.53,0.0,0.06,9.21,30,"(352, 288)",bridge_close_cif_segment_000.mp4
0.05,0.1,6.59,2.32,86.64,6.52,0.0,0.06,9.06,30,"(352, 288)",bridge_close_cif_segment_001.mp4
0.05,0.1,6.59,2.36,86.3,6.52,0.0,0.06,9.16,30,"(352, 288)",bridge_close_cif_segment_002.mp4
0.05,0.1,6.6,2.3,86.52,6.53,0.0,0.06,9.14,30,"(352, 288)",bridge_close_cif_segment_003.mp4
0.05,0.09,6.6,2.17,86.21,6.53,0.0,0.06,8.87,30,"(352, 288)",bridge_close_cif_segment_004.mp4
0.05,0.09,6.6,2.1,85.8,6.53,0.0,0.06,8.65,30,"(352, 288)",bridge_close_cif_segment_005.mp4
0.05,0.09,6.61,2.27,87.3,6.54,0.0,0.06,8.87,30,"(352, 288)",bridge_close_cif_segment_007.mp4
0.05,0.09,6.6,2.18,86.92,6.54,0.0,0.06,8.82,30,"(352, 288)",bridge_close_cif_segment_008.mp4
0.05,0.1,6.61,2.24,86.3,6.55,0.0,0.06,8.95,30,"(352, 288)",bridge_close_cif_segment_009.mp4
0.05,0.1,6.6,2.24,85.06,6.54,0.0,0.06,8.98,30,"(352, 288)",bridge_close_cif_segment_010.mp4
