video_name,cq,vmaf,output_size,bitrate
720p50_mobcal_ter_segment_000.mp4,10,99.96,37.9794330596924,0
720p50_mobcal_ter_segment_000.mp4,12,99.74,29.7537508010864,61.5473
720p50_mobcal_ter_segment_000.mp4,14,99.52,23.7490253448486,49.5694
720p50_mobcal_ter_segment_000.mp4,16,99.3,19.0239610671997,37.2078
720p50_mobcal_ter_segment_000.mp4,18,99.08,15.5762596130371,30.9419
720p50_mobcal_ter_segment_000.mp4,20,98.86,12.735068321228,24.1984
720p50_mobcal_ter_segment_000.mp4,22,98.64,10.0961294174194,18.6418
720p50_mobcal_ter_segment_000.mp4,24,98.42,7.49374008178711,13.9817
720p50_mobcal_ter_segment_000.mp4,26,98.2,6.55124759674072,11.6513
720p50_mobcal_ter_segment_000.mp4,28,98.15,5.40985584259033,8.5602
720p50_mobcal_ter_segment_000.mp4,30,97.82,4.41579055786133,5.6685
720p50_mobcal_ter_segment_000.mp4,32,97.63,3.64664649963379,5.9924
720p50_mobcal_ter_segment_000.mp4,34,97.08,2.86528301239014,5.5192
720p50_mobcal_ter_segment_000.mp4,36,96.56,2.30805206298828,2.1403
720p50_mobcal_ter_segment_000.mp4,38,96.19,1.82753276824951,3.3291
720p50_mobcal_ter_segment_000.mp4,40,95.35,1.51207828521729,1.8399
720p50_mobcal_ter_segment_000.mp4,42,94.41,1.22776126861572,0.0005
720p50_mobcal_ter_segment_000.mp4,44,93.13,1.01439571380615,0.0004
720p50_mobcal_ter_segment_000.mp4,46,91.75,0.850822448730469,1.9069
720p50_mobcal_ter_segment_000.mp4,48,89.85,0.722394943237305,0.0005
720p50_mobcal_ter_segment_000.mp4,50,87.51,0.6102294921875,0.0005
720p50_mobcal_ter_segment_000.mp4,52,84.32,0.509208679199219,0.0003
720p50_mobcal_ter_segment_000.mp4,54,81.36,0.441910743713379,0.0004
720p50_mobcal_ter_segment_000.mp4,56,77.06,0.369577407836914,0.0005
720p50_mobcal_ter_segment_000.mp4,58,73.18,0.320388793945313,0.0004
720p50_mobcal_ter_segment_001.mp4,10,100,35.4683046340942,65.8413
720p50_mobcal_ter_segment_001.mp4,12,100,28.2977199554443,50.332
720p50_mobcal_ter_segment_001.mp4,14,100,22.5392560958862,41.0317
720p50_mobcal_ter_segment_001.mp4,16,100,17.5998916625977,30.9419
720p50_mobcal_ter_segment_001.mp4,18,100,14.1017866134644,24.5124
720p50_mobcal_ter_segment_001.mp4,20,100,11.4166879653931,18.2365
720p50_mobcal_ter_segment_001.mp4,22,99.98,8.98164176940918,13.1076
720p50_mobcal_ter_segment_001.mp4,24,99.96,7.25759792327881,10.2305
720p50_mobcal_ter_segment_001.mp4,26,99.94,5.86555671691895,9.0398
720p50_mobcal_ter_segment_001.mp4,28,99.9,4.62136650085449,6.7653
720p50_mobcal_ter_segment_001.mp4,30,99.81,3.69872570037842,6.0498
720p50_mobcal_ter_segment_001.mp4,32,99.65,3.00191211700439,3.9573
720p50_mobcal_ter_segment_001.mp4,34,99.42,2.40483283996582,2.1403
720p50_mobcal_ter_segment_001.mp4,36,99.02,1.95686054229736,2.558
720p50_mobcal_ter_segment_001.mp4,38,98.46,1.59079360961914,0.0004
720p50_mobcal_ter_segment_001.mp4,40,97.69,1.29709529876709,2.0169
720p50_mobcal_ter_segment_001.mp4,42,96.63,1.05008602142334,2.0169
720p50_mobcal_ter_segment_001.mp4,44,95.33,0.875811576843262,0.0003
720p50_mobcal_ter_segment_001.mp4,46,93.64,0.728780746459961,0.0003
720p50_mobcal_ter_segment_001.mp4,48,91.77,0.618149757385254,0.0003
720p50_mobcal_ter_segment_001.mp4,50,89.36,0.523518562316895,0.0003
720p50_mobcal_ter_segment_001.mp4,52,86.78,0.448593139648438,0.0003
720p50_mobcal_ter_segment_001.mp4,54,83.39,0.381687164306641,0.0003
720p50_mobcal_ter_segment_001.mp4,56,79.76,0.328127861022949,0.0002
720p50_mobcal_ter_segment_001.mp4,58,75.48,0.279168128967285,0.0003
720p50_parkrun_ter_segment_000.mp4,10,98.57,50.5528020858765,101.6807
720p50_parkrun_ter_segment_000.mp4,12,98.57,40.9100065231323,83.2698
720p50_parkrun_ter_segment_000.mp4,14,98.57,33.1214799880981,66.4105
720p50_parkrun_ter_segment_000.mp4,16,98.57,26.7049350738525,52.4293
720p50_parkrun_ter_segment_000.mp4,18,98.57,21.9987888336182,43.1772
