video_name,cq,vmaf,output_size,bitrate
720p50_mobcal_ter_segment_000.mp4,10,"(None,)",37.97943305969238,0.0
720p50_mobcal_ter_segment_000.mp4,12,"(None,)",29.753750801086426,61.5473
720p50_mobcal_ter_segment_000.mp4,14,"(None,)",23.749025344848633,49.5694
720p50_mobcal_ter_segment_000.mp4,16,"(None,)",19.023961067199707,37.207800000000006
720p50_mobcal_ter_segment_000.mp4,18,"(None,)",15.57625961303711,30.9419
720p50_mobcal_ter_segment_000.mp4,20,"(None,)",12.735068321228027,24.198400000000003
720p50_mobcal_ter_segment_000.mp4,22,"(None,)",10.096129417419434,18.6418
720p50_mobcal_ter_segment_000.mp4,24,98.42,7.493740081787109,13.9817
720p50_mobcal_ter_segment_000.mp4,26,98.2,6.551247596740723,11.6513
720p50_mobcal_ter_segment_000.mp4,28,98.15,5.409855842590332,8.5602
720p50_mobcal_ter_segment_000.mp4,30,97.82,4.415790557861328,5.6685
720p50_mobcal_ter_segment_000.mp4,32,97.63,3.646646499633789,5.9924
720p50_mobcal_ter_segment_000.mp4,34,97.08,2.8652830123901367,5.5192
720p50_mobcal_ter_segment_000.mp4,36,96.56,2.308052062988281,2.1403000000000003
720p50_mobcal_ter_segment_000.mp4,38,96.19,1.8275327682495117,3.3291
720p50_mobcal_ter_segment_000.mp4,40,95.35,1.5120782852172852,1.8399
720p50_mobcal_ter_segment_000.mp4,42,94.41,1.2277612686157229,0.0005
720p50_mobcal_ter_segment_000.mp4,44,93.13,1.0143957138061523,0.0004
720p50_mobcal_ter_segment_000.mp4,46,91.75,0.8508224487304688,1.9069
720p50_mobcal_ter_segment_000.mp4,48,89.85,0.7223949432373047,0.0005
720p50_mobcal_ter_segment_000.mp4,50,87.51,0.6102294921875,0.0005
720p50_mobcal_ter_segment_000.mp4,52,84.32,0.5092086791992188,0.0003
720p50_mobcal_ter_segment_000.mp4,54,81.36,0.4419107437133789,0.0004
720p50_mobcal_ter_segment_000.mp4,56,77.06,0.369577407836914,0.0005
720p50_mobcal_ter_segment_000.mp4,58,73.18,0.3203887939453125,0.0004
720p50_mobcal_ter_segment_001.mp4,10,"(None,)",35.46830463409424,65.8413
720p50_mobcal_ter_segment_001.mp4,12,"(None,)",28.297719955444336,50.332
720p50_mobcal_ter_segment_001.mp4,14,"(None,)",22.53925609588623,41.031699999999994
720p50_mobcal_ter_segment_001.mp4,16,"(None,)",17.599891662597656,30.9419
720p50_mobcal_ter_segment_001.mp4,18,"(None,)",14.101786613464355,24.512400000000003
720p50_mobcal_ter_segment_001.mp4,20,"(None,)",11.416687965393066,18.2365
720p50_mobcal_ter_segment_001.mp4,22,"(None,)",8.98164176940918,13.1076
720p50_mobcal_ter_segment_001.mp4,24,99.96,7.257597923278809,10.2305
720p50_mobcal_ter_segment_001.mp4,26,99.94,5.865556716918945,9.0398
720p50_mobcal_ter_segment_001.mp4,28,99.9,4.621366500854492,6.7653
720p50_mobcal_ter_segment_001.mp4,30,99.81,3.698725700378418,6.0498
720p50_mobcal_ter_segment_001.mp4,32,99.65,3.0019121170043945,3.9573
720p50_mobcal_ter_segment_001.mp4,34,99.42,2.4048328399658203,2.1403000000000003
720p50_mobcal_ter_segment_001.mp4,36,99.02,1.9568605422973635,2.558
720p50_mobcal_ter_segment_001.mp4,38,98.46,1.5907936096191406,0.0004
720p50_mobcal_ter_segment_001.mp4,40,97.69,1.2970952987670898,2.0169
720p50_mobcal_ter_segment_001.mp4,42,96.63,1.0500860214233398,2.0169
720p50_mobcal_ter_segment_001.mp4,44,95.33,0.8758115768432617,0.0003
720p50_mobcal_ter_segment_001.mp4,46,93.64,0.7287807464599609,0.0003
720p50_mobcal_ter_segment_001.mp4,48,91.77,0.6181497573852539,0.0003
720p50_mobcal_ter_segment_001.mp4,50,89.36,0.5235185623168945,0.0003
720p50_mobcal_ter_segment_001.mp4,52,86.78,0.4485931396484375,0.0003
720p50_mobcal_ter_segment_001.mp4,54,83.39,0.3816871643066406,0.0003
720p50_mobcal_ter_segment_001.mp4,56,79.76,0.3281278610229492,0.0002
720p50_mobcal_ter_segment_001.mp4,58,75.48,0.2791681289672851,0.0003
720p50_parkrun_ter_segment_000.mp4,10,"(None,)",50.552802085876465,101.6807
720p50_parkrun_ter_segment_000.mp4,12,"(None,)",40.910006523132324,83.2698
720p50_parkrun_ter_segment_000.mp4,14,"(None,)",33.121479988098145,66.4105
720p50_parkrun_ter_segment_000.mp4,16,"(None,)",26.70493507385254,52.429300000000005
720p50_parkrun_ter_segment_000.mp4,18,"(None,)",21.998788833618164,43.1772
720p50_parkrun_ter_segment_000.mp4,20,"(None,)",18.214643478393555,37.2082
720p50_parkrun_ter_segment_000.mp4,22,"(None,)",14.809243202209473,29.127599999999997
720p50_parkrun_ter_segment_000.mp4,24,"(None,)",7.449603080749512,14.1705
720p50_parkrun_ter_segment_000.mp4,26,98.57,7.446062088012695,16.778
720p50_parkrun_ter_segment_000.mp4,28,98.57,7.443441390991211,15.8881
720p50_parkrun_ter_segment_000.mp4,30,98.38,7.083897590637207,13.9814
720p50_parkrun_ter_segment_000.mp4,32,96.55,5.894546508789063,12.336799999999998
720p50_parkrun_ter_segment_000.mp4,34,94.17,4.933525085449219,8.7385
720p50_parkrun_ter_segment_000.mp4,36,91.58,4.146662712097168,7.2322
720p50_parkrun_ter_segment_000.mp4,38,88.79,3.4743423461914062,5.9924
720p50_parkrun_ter_segment_000.mp4,40,85.68,2.9026098251342773,5.5193
720p50_parkrun_ter_segment_000.mp4,42,82.43,2.441617012023926,2.7599
720p50_parkrun_ter_segment_000.mp4,44,78.97,2.04727840423584,2.6891
720p50_parkrun_ter_segment_000.mp4,46,75.39,1.7272863388061523,3.4959
720p50_parkrun_ter_segment_000.mp4,48,71.55,1.4438848495483398,2.8345
720p50_parkrun_ter_segment_000.mp4,50,67.31,1.1974687576293943,0.0007
720p50_parkrun_ter_segment_000.mp4,52,63.35,0.9908647537231444,0.0006
720p50_parkrun_ter_segment_000.mp4,54,58.88,0.8144521713256836,0.0007
720p50_parkrun_ter_segment_000.mp4,56,55.12,0.6752090454101562,0.0004
720p50_parkrun_ter_segment_000.mp4,58,50.77,0.5500316619873047,0.0004
720p50_parkrun_ter_segment_001.mp4,10,"(None,)",45.58501052856445,98.6901
720p50_parkrun_ter_segment_001.mp4,12,"(None,)",36.393113136291504,83.3488
720p50_parkrun_ter_segment_001.mp4,14,"(None,)",29.055407524108887,65.5366
720p50_parkrun_ter_segment_001.mp4,16,"(None,)",23.48797607421875,53.7736
720p50_parkrun_ter_segment_001.mp4,18,"(None,)",19.345169067382812,44.939699999999995
